id,text,n_tokens
c_184234c8c525,bencana banjir di dusun krajan desa winong kecamatan tugu,9
c_fd778c41b59b,dampak fenomena supermoon adalah adanya peningkatan pasang air laut maksimum yang dapat mengakibatkan terjadinya banjir rob ( genangan air laut di daratan ) maka masyarakat yang berada di pesisir pantai diharapkan agar tetap waspada terhadap dampak yang ditimbulkan,38
c_41b4b743d0dd,puji tuhan sekarang jadi enggak terlalu malu kalo ada airport di indonesia yang kebanjiran wong airport di amerika saja bisa banjir airport di new york kebanjiran,26
c_b7885a8f97a0,banjir di wilayah tlogopojok perempatan petrokimia gresik video kiriman : roby_fan,11
c_df4b9efc02a6,abah ku kota malang amat cantik dengan taman tata kota & jalan yang indah tapi itu sebelum banjir di jalanan utama dikata hujan deras tingkat kemacetan meningkat dan parkir liar menghiasi tiap gerai di malang masih 'beautiful malang ' kah ?,41
c_edf328551082,tkpm ara kuda pulih sepenuhnya selepas banjir november 2017 semoga pengeluaran sayur sayuran dapat di tingkatkan tahun ini,18
c_1fe1b4f7fd4d,sedang berlangsung pengobatan massal dari untuk korban banjir di monggo merapat,11
c_ccd1bd692029,hanyutkan dua jembatan banjir di banyuwangi juga terjang lima desa : kabid kedaruratan dan logistik bpbd banyuwangi eka muharam menginstruksikan supaya segera menurunkan tim reaksi cepat ( trc ) petugas juga diminta segera melakukan assesment perihal,36
c_c76beea55c9f,bpbd pemerintah dunia usaha dan masyarakat gotong royong penanganan bencana banjir di kecamatan pesanggaran,14
c_6a917944529d,konsumsi siap di bungkus untuk kemudian akan segera di distribusikan ke masyarakat terdampak banjir di wilayah kecamatan pesanggaran,18
c_722af2560244,anggota rela pekan sedang membantu mengangkat barang-barang dan membersih bahan kperluan mangsa banjir di pp suka temai pekan,18
c_d659012920a6,bantuan sumbangan banjir diserahkan kepada staf ump yang terlibat di dalam banjir di pekan,14
c_badfac9c8a8c,anggota rela pekan sedang membantu memasak menyediakan barang-barang dan membersih bahan kperluan mangsa banjir di pp suka sri mutiara sg miang,21
c_aca58b4603cd,memiliki visi dan misi mampu mengatasi banjir sangatlah diperlukan oleh pemimpin pontianak di masa mendatang meninggikan badan jalan bukanlah solusi jangka panjang imbasnya rumah warga tergenang,26
c_5555b99ba2b4,banjir lahar hujan membawa material erupsi gunung agung di sungai yeh sah mulai 13/1/2018 pukul 0:16:15 wita jangan menonton di atas jembatan berbahaya,23
c_1affb4564391,polling : menurut anda apa faktor utama penyebab genangan banjir di kota pontianak hari ini ?,16
c_134db2358459,naik motor di lombok pas banjir lalu snorkeling di gili cek video full-nya di :,15
c_dde0204753d6,rt : pekan anggota rela membantu mengagihkan barang-barang kperluan mangsa2 banjir di pp suka temai,15
c_570870e97335,petugas perawatan jalan rel sedang melakukan penambahan batu ballast di sepanjang rel yang terkena banjir di porong dengan menggunakan kak hokuriku,21
c_6952fe6b6cbd,| banjir : 3 sekolah di kluang ditutup,8
c_c71ad03ec013,alasan para pedagang bahwa kenaikan harga beras disebabkan banyaknya petani gagal panen akibat banjir dianggap tidak masuk akal o/ para petani di desa ngeluk kecamatan penawangan kabupaten grobogan nasibmu petani kini masih mau 2 periode ?,36
c_45c71a093286,cuaca semakin baik membolehkan anggota 1 kad bantu mangsa2 banjir di pp balai raya kg setajam rompin pulang ke kediaman masing-masing,21
c_a5f1129fd795,15/1 - sekitar penghantaran bantuan bekalan makanan banjir untuk ladang-ladang di kahang ke bilik gerakan di kg sri lukut menaiki trak atm terima kasih kepada anggota 7 briged atm dan semua yang terlibat membantu melancarkan pergerakan,36
c_bad463fd3e91,akhir tahun identik dengan musim hujan di indonesia intensitas dan curah hujan yang tinggi meningkatkan potensi banjir di berbagai daerah di tanah air tingkatkan kewaspadaan kita simak tips-tips siaga banjir berikut,31
c_326ede8625ca,meski kinerjanya tengah jadi sorotan menteri susi banjir doa dari netizen di ultah ke-53 tahun,15
c_116e79c677e0,hujan dengan intensitas tinggi mengguyur kawasan puncak gunung agung menyebabkan banjir lahar hujan di sungai tukad batu niti desa tulamben kecamatan kubu karangasem yang berhulu di gunung agung selasa 16/1/18 jam 440 sore,33
c_446ea68f22bc,banjir di pekan kian pulih,5
c_876e543a680d,sisi lain penyuluh pertanian dalam pemantauan banjir pada persawahan di kota pekalongan,12
c_cdc390fee877,antisipasi banjir susulan bendungan oneha di kolaka dibenahi,8
c_9973aed82ae8,18/1 banjir di kuala semantan kali ke 3 untuk bulan januariujian dari allah untuk melihat kesabaran dan ketabahan di atas bencana yang menimpasemoga mangsa banjir dalam keadaan baik dan sehat sejahtera,31
c_dc8d673c1e15,sinergritas tni polri gotong royong bersama muspika dan masyarakat perbaiki jembatan rusak akibat banjir di situbondo,16
c_5f7e952e3c73,banjir lumpur mohon pihak memantau perkara tersebut untuk keselamatan pengguna jalan raya di sekitar,14
c_d98acf7d0e99,banjir rob kembali rendam sekolah di muaragembong,7
c_3970283c9ac2,disebabkan banjir kilat diantara stesen bangi > btg benar komuter ke laluan seremban/sg gadut/tampin akan ditamatkan di stesen bangi buat masa ini tiada perkhidmatan terus untuk ke seremban/sg gadut/tampin maaf,30
c_a44684e2e9c3,semasa terperangkap dalam banjir besar di temerloh saya lukis nih 2015,11
c_c091c7655351,kemarin disambangi direktur cyber crime di griya gus dur matraman polri sudah siap-siap hadapi banjir hoax & sentimen sara di tahun politik <PHONE> tetap tegas & humanis ya pak !,30
c_7db24fc0ca68,banjir di perempatan kebomas arah lamongan,6
c_b6aef371e74e,banjir di jalan dari wahidin sudirohusodo gresik,7
c_99d1572f1dd1,banjir di rejoso pasuruan ( sinpo 1929 ),8
c_b2232c28a93d,banjir bencana berulang yang terjadi di kalimantan barat,8
c_fc9d3dcd0a29,genangan banjir merendam beberapa ruas jalan di kota denpasar jalan by pas ngurah rai mumbul terendam banjir kendaraan terjebak di jalan potensi hujan lebat masih tinggi waspada dan hati-hatilah,29
c_42b07b4df417,apa ceritamu kala itu ? -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- - kilas balik banjir besar di kudus tahun 2014,29
c_4cfd64ca153a,pantau banjir di kp karet desa citeureup dan desa mekarsari kecamatan panimbang kak puskesmas survailance kak desa dan ksb,19
c_f7e1bcf98331,perjuangan banget tadi mau pulang ke rumah dari marlboro ke begini sanghyang - padangsambian tegal buah yang ada warung mina : banjir sedada puter balik - mau ke gunung salak banjir juga biasanya yang di depan bali arum banjir besar enggak berani masuk - akhirnya muter ke pengubengan,48
c_ffbcb909a4b3,banjir di daerah jalan dewi sri bali tim sar sedang evakuasi warga hari ini,14
c_01bd0edf17c2,selasa 23 januari 2018 untuk sampai saat ini situasi banjir di desa bojongmanik dan pasiloa,15
c_6b9672005c51,banjir kilat di kota damansar petang tadi hati-hati,8
c_db2749c13872,tiga desa di kecamatan mojo dan ngadiluwih diterjang banjir tadi malam ( 24/7 ) diduga penyebabnya dipicu luapan dari sungai brantas setelah hujan deras turun seharian tiga desa itu adalah desa keniten dan desa petok di kecamatan mojo dan desa badalpandean kecamatan ngadiluwih,43
c_227fab0f5610,banjir durian di majalengka aseeeek info lengkapnya di sabtu 27 januari 2018,12
c_82c2a5202e58,keadaan banjir di rawang lori pun tak lepas,8
c_96e235d998ae,banjir sekitar 25 cuma di jalan palang merah medan mohon berhati hati cc :,14
c_3f8b9a118d53,nganggur 4 bulan lebih lalu ada panggilan intvw tapi lokasi intvw jauh motor lagi enggak benar & musim ujan kalo banjir pasti mogok pajak mati emak : emak doain semoga perjalanan lancar enggak ujan enggak banjir enggak ada polisi terkabul terus diterima kerja di situ : ' ),48
c_a2ec4d837826,untuk menjaga mesin tetap aman pastikan kecepatan mobill 40 km/jam saat melalui banjir menurut bpk arsyah regional manager area dki yang berpengalaman selama 25 tahun di mobil88 bila kecepatan kurang/lebih dari 40 km/jam risiko air masuk mesin lebih tinggi sehingga mobil jadi rusak,43
c_9a320c24b6be,bersama forum komunikasi kecamatan panimbang pantau banjir di kp keusik desa mekarsari kecamatan panimbang,14
c_ad28ef754fd2,sudah seminggu banjir di kp keusik desa mekarsari kecamatan panimbang belum juga surut,13
c_44dea31bd971,semua mangsa banjir 2014 di kuala krai sudah dapat rumah -,11
c_7edefd13068e,polsek panimbang bersama muspika laksanakan pengobatan gratis kepada warga yang terdampak banjir musiman di pustu kp keusik,17
c_65a640c1851f,crew pmi membantu bpbd dalam memilah bantuan untuk masyarakat yang terkena banjir di sjngaraja goblek dan munduk bersama-sama pekerjaan akan terasa lebih ringan,23
c_4a6164b9126f,desa bangko makmur belum bisa mlaksnkn kgiatn karena kondisi banjir & material telah di order mudh2n dalam 3 hari air bisa kering,22
c_6a96b46b4e5e,banjir diskon di lombok sumbawa great sale 2018,8
c_ec53442d1881,3 pilar kamtibmas kecamatan bungatan cek lokasi bencana banjir di dusun bretan,12
c_0ea8fa4f862c,pemandangan dari atas kwsn perkhemahan kuala marong selepas mengalami musim hujan dan banjir kini keadaan kembali seperti biasa & beberapa perubahan telah dijalankan untuk keselesaan pengunjung marilah menikmati hidupan alam semulajadi di endau rompin peta !,36
c_ad6e95948068,banjir hadiah di jne loyalti card award 2018,8
c_4733289c3e36,banjir dukungan dan tuntutan tegaknya keadilan terhadap korban pelecehan seksual di hollywood,12
c_333ae384476c,siaran pers 29/01/2018 meliputi 1 fenomena langka super blue blood moon diikuti 2 gerhana bulan total ( gbt ) terlama di abad ini ( 31/01/2018 ) 3 waspada banjir rob ketika supermoon dan 4 hujan lebat dan angin kencang hingga sepekan ke depan di sebagian wilayah indonesia,47
c_4d7e75d6caa5,enggak bisa atasi banjir alasan sabotase emosi ditanya di stasiun tv bilang ta * k-ta * k sudah salah jadi narapidana bukan di lp tapi di mako siapakah dia ? ahok~,31
c_1f0de36eb888,banjir diskon di mobile shopping day,6
c_8735066eaacf,gerhana bulan total bakal picu peningkatan banjir rob di jalur pantura,11
c_50c1901e91dc,bmkg : fenomena gerhana bulan total memang indah tapi warga harus waspada banjir rob punya tips atau berita warga lainnya ? yuk posting di atmago !,26
c_4840e3a77477,awas peningkatan banjir rob di jalur pantura saat gerhana bulan total,11
c_3b65c3c4d7f3,lpbi nu bali lakukan aksi peduli kepada korban banjir di buleleng singaraja,12
c_ed43012069f4,dampak gerhana bulan banjir rob rendam jalan desa di subang,10
c_33cdc053aaa8,ratusan ayam diterjang banjir air hujan di dusun pegubugan desa duda kecamatan selat kabupaten karangasem kandang berada di bantaran sungai tukad sabuh tembus di banjar bangbangbiaung,26
c_9dda6e2b2886,inilah bukti kecintaan pemimpin pada rakyatnya dan beri solusi bupati kunjungi banjir dan rumah juanda di kp keusik desa mekarsari kecamatan panimbanh,22
c_f840338d2fde,pembagian bantuan banjir di desa idaman kecamatan patia,8
c_6d4ee2f82d69,jember diguyur hujan lebat banjir dimana-mana - hujan lebat jember dilanda banjir di sejumlah kecamatan,15
c_7386055aa55c,pengendalian banjir dan rob kota semarang di targetkan akan selesai 2019 nanti kolam retensi banjardowo dan tanggul di belakang terminal terboyo sedikit lagi selesai jangan buang sampah di sungai ya lurr kita rawat lingkungan kita biar enggak banjir lagi yang setuju share ya,43
c_a844bbf59e99,bupati tinjau banjir di kecamatan sukaresmi dan kecamatan panimbang kamis ( 1/2 ),13
c_4d447ef03d3d,peta prakiraan daerah potensi banjir harian di dki jakarta - minggu 4 februari 2018 punya info warga yang bermanfaat ? yuk posting di atmago !,25
c_d76a4a1deace,korban banjir bandang empat desa di probolinggo dapat bantuan,9
c_4014edd43a05,terpidana pembunuh suporter sfc banjir dukungan di medsos,8
c_0791f94f77fa,banjir di jalan pemuda ngrame pungging/mojosari mojokerto depan pom bensin,10
c_e0edbad266f7,semarang banjir macet total info dari sopir alletamex cargo yang lagi di jalan menuju ke bali,16
c_7d6b20a505eb,kemudahan terbaik disediakan buat mangsa banjir di pps,8
c_17dac3ae886e,: tangani banjir pemkot surabaya tambah hutan kota di sejumlah kawasan,11
c_f2404e17b070,jakarta hujan deras ya tweehearts ? tolong update dong di daerah mana banjir apa enggak ya stay safe stay warm stay kelonan saja lihat jendela di luar,27
c_08871c007f6e,puluhan rumah di daerah bidara cina terendam banjir setinggi 3 meter akibat kejadian ini warga langsung di evakuasi oleh petugas,20
c_f90d5480e9af,presiden jokowi melakukan rapat terbatas dengan pihak terkait membahas tentang banjir dan longsor yang terjadi di jakarta dan puncak,19
c_d084b51d462d,lanjutkan normalisasi sungai jika ingin mengurangi banjir di bantaran sungai ciliwung bantaran sungai di daerah srengseng sawah rawajati kalibata pengadegan pejaten timur kebon baru bukit duri balekambang cililitan dan bidara cina perlu dinormalisasi lanjutkan !,35
c_9ce27877101d,tak peduli banjir jualan harus terus jalan istri menunggu setoran di rumah,12
c_7a0e01acb2ec,pasukan siaga banjir tni au yang terdiri dari 305 personel gabungan dari wing i paskhas lanud halim p dan makoopsau i hari ini melaksanakan apel siaga di marshalling area lanud halim p seiring tingginya intensitas curah hujan di jabodetabek dalam beberapa hari terakhir ini,44
c_038f6274df54,pasukan siaga banjir tni au sore hari tadi langsung bergerak ke lokasi untuk memberikan pertolongan dan evakuasi warga setelah mendapat laporan terjadinya banjir di daerah kalibata dan cililitan jakarta timur,30
c_3e85ad651abe,saya orang bogor menyaksikan dahsyatnya katulampa 2 hari yang lalu mungkin paling dahsyat jakarta beresiko tinggi banjir besar di malam harinyatapi maasya allah air lewat begitu saja well done pak pemimpin adil akan selalu bawa keberkahan,36
c_6ae8dfbd96aa,ternyata agama enggak bisa mencegah jakarta dari banjir nalar di dengkul justru yang bikin banjir balik lagi,17
c_f5a84d68a5dc,ggd anambas peduli korban banjir dan longsor selengkapnya di tembusan : ayahanda sinaga,13
c_fc6d289275ca,beredar sebuah video permadi arya tentang banjir yang menjadi bahan bully pada ustad kita sahabatku jokower sejati jangan memviralkan atau meretwetnya saya akan unfoll bagi yang muncul di tl saya,30
c_96bdf7101bf1,di antara korban banjir pasti ada ebong apa enggak malu ? ikut fitnah harus n fpi tapi yang di caci maki mereka malah yang nolong mereka !,27
c_ad8dc3ec46bb,mendengar curahan hati warga yang terkena musibah banjir di daerah bale kambang condet jakarta timur,15
c_885b067d0300,banjir di jakarta 6 500 penduduk dipindahkan jakarta - beribu-ribu penduduk,11
c_d5d4a3da2885,lurah kampung melayu berani katakan penanganan sampah banjir lamban dari pemkot pasukan oranye tidak lagi kelihatan memang beda ! di tempat lain anies sibuk istirahat karena tadinya begadang sekarang bangun sibuk mencari yang hilang : kambing-kambing hitamnya !,38
c_c253c5e281fc,adakan bakti sosial pindra bantu korban banjir di dusun peras desa kidang lombok tengah,14
c_0fcf9833376a,9 feb : atm membantu mangsa banjir melalui pemeriksaan dan rawatan kesihatan rawatan pergigian di pusat pemindahan dewan serbaguna & dewan suarah seramai 200 orang telah mendapat rawatan sepanjang program dilaksanakan ! -,33
c_c0dbbdb3eaa6,anies baru paham kalau air banjir bukan dari jakarta banjir datangnya air bukan dari jakarta datangnya dari hulu sana bogor dan malam itu saya bayangkan semua warga di sini ya ? air enggak bisa milih-milih kalau api bisa kelewat satu rumah air enggak bisa `` kata anies,47
c_603291b601f2,reaksi fz soal banjir di jakarta dulu : - jangan umbar janji ! - kampungan sekarang : - percayalah enggak bakal ada yang sanggup,24
c_9ab718804801,sudah 3 hari ini tim sar membantu korban banjir mulai dari bersih2 rumah masjid terapi pijat dlsb agenda hari ini bersih2 mushalla nurul intibah pengadegan jakarta timur buat yang di lapangan tetap semangat !,34
c_c331c25f6fbc,artikel tentang banjir berita hoaks di tengah pemberitaan media yang semakin partisan,12
c_30756777d316,kabtegal - jateng ( 10/2 ) pmi membuka dapur umum untuk warga terdampak banjir di dspadaharja - kramat & sidakaton - dukuhturi,22
c_f90478f45ea4,program anies atasi banjir anggota dprd dki : apa ya ? membingungkan dan tak jelas kalau bagus pasti di pakai pak jokowiwong enggak becus makanya dpecat,26
c_e94204eefd46,kabtegal ( 10/2 ) malam ini pmi distribusikan logistik bahan makanan untuk warga terdampak banjir di dstembok banjaran,18
c_6298dc7f863b,ini upaya pemkab sidoarjo atasi banjir di tropodo ( odp-pr ),11
c_d7f65b3a9f80,pks enggak ada liburnye ahad jadualnya gebyar baksos di pinggir ciliwung kelurahan rawajati terdampak banjir tepatnya di kolong flyover kalibata gembira kita,22
c_7f4fa6b38b33,banjir di daerah lubang rw01 pengadegan sudah mulai surut lumpur2 masih menempati rumah2 warga kader pks bareng warga gotong royong bersihkan lumpur ahad 11 februari 2018,26
c_6f65ba142615,ramai-ramai tangani banjir di jakarta | kanal : dki-banten |,10
c_03d0aeb5f57a,banjir di desa temuireng luapan kali jamuran minggu ( 11/2/2018 ),11
c_2cca4b007953,banjir diskon buah dan daging segar di transmart carrefour kubu raya,11
c_635d7c55645f,pemulangan pengungsi gunung agung dari kabupaten buleleng ke kecamatan kubu terjebak banjir di tukad dalem desa tianyar menunggu banjir surut,20
c_1955c068654d,di video ini jelas kok cara mengatasi banjir di jakarta bukan rahasia lagi : air hujan jatuh ke bumi jangan dibuang ke laut,23
c_d48a0335e220,kabtegal - jateng ( 12/2 ) sukarelawan gabungan sampai saat ini masih berusaha evakusi warga terdampak banjir di beberapa wilayah kabtegal,21
c_ed3c90c0fb0d,kabtegal ( 12/2 ) packing logistik ( makanan & air minum ) untuk di distribusikan ke wilayah terdampak banjir di kabtegal,21
c_c8dd4ebeb6b8,ribuan rumah warga di 6 kecamatan di tegal terendam banjir hingga 2 meter wilayah terparah di kecamatan surodadi,18
c_3c561d845ada,masih dengan kondisi banjir di beberapa wilayah tegal untuk di margadana genangan air masih cukup tinggi bagi para korban semoga airnya cepat surut selalu diberi kesehatan kesabaran dan semangat untuk menata kembali lingkungan rumahnya,34
c_b26a5fa527e5,luhkan kecamatan gabus mendata kolam air tawar yang terkena banjir di desa wuwur kecamatan gabus kolam yang terkena banjir 65 ha dengan kerugian rp 600 juta,26
c_9aff273909b4,akankah anies baswedan belajar dari data-data banjir yang terjadi sebelum ia berkantor di balai kota ?,16
c_75d560030609,presiden joko widodo didampingi menteri desa pemb daerah tertinggal & transmigrasi meninjau padat karya di desa batu merah ( 14/2 ) yang bertujuan menanggulangi bencana banjir yang sering tjd di musim hujan dengan anggaran rp296 juta & lama pekerjaan 28-30 hari,41
c_1912804fbace,dpk kecamatan slawi mengawal distribusi bantuan logistik untuk korban banjir di kelurahan kudaile rabu ( 15/2 ),17
c_268be234a650,pmi demak kerahkan tim satgana dan tim sibat untuk bantu masyarakat terdampak banjir di desa margohayu dan desa teluk keckarangawen demak sore ini,23
c_b0a83cdefdbe,esensi pancasila itu gotong royong bukan saling memanfaatkan demi keuntungan penyerahan bantuan korban banjir di kabupaten buol,17
c_fb6158895517,hujan lebat sebabkan banjir dan longsor di padang,8
c_9c3707923e6e,warga dki harus bersyukur karena gara-gara banjir merendam ibukota di era justru menarik perhatian para bidadari surga dikhotbahi terlihat jelas seperti penghuni alexis keluar & menikmati indahnya berbanjir ria di dki & kami di luar dki iri banget,38
c_5ef534db6aad,penempatan semula mangsa banjir dan setinggan di taman dato ' ajib,11
c_8e6bd6f3a6a9,baru beberapa bulan lalu banjir di dki jakarta dan sekarang banjir lagi dan lebih parah ? ? ? lalu kemana 73 orang tim gubernur untuk percepat,26
c_6e4d6b4d168e,congrats ya dua lipa banjir nominee di brit awards 2018 moga menang banyak,13
c_1ab20111caf7,banjir bekasi utara meluas ketinggian air di wilayah kaliabang - < - komentar ?,14
c_e64ff74c691a,kunjungan lapangan ke kelompok banjir rob di pangkaln ikan dan mendapati salah satu anak hiu di rumpon,17
c_4741750ccae1,bantuan beras dan obat-obatan abi rescue untuk korban banjir di cililitan jakarta timur -,14
c_fe879b31fcb4,little electrical generation atau untuk buat menjadi dam besar atasi banjir/tampunh serapan sampah ( sedikit modified ) di sungai citarum cc,21
c_49cc6ab3d91f,hati-hati lewat jalan porong lama selain banjir banyak truk berhenti di sisi kiri jalan untuk ambil keuntungan dengan mencuci truk masing-masing,21
c_8a0fceb8f113,waduh ! tinjau lokasi banjir di jaktim teriakan wanita ini bikin anies ngacir,13
c_637f4c90ce55,salah satu kebijakan rahasia gabener dalam mengatasi kesulitan warga jakarta melintasi banjir adalah memperbanyak pagar di sepanjang jalan jakarta banjir sih boleh saja datang dan pergi tapi memberikan fasilitas pagar agar warga bisa melintasi banjir tanpa basah kuyup ini baru jenius,41
c_c389f3608e2a,banjir di porong sudah surutkah ?,6
c_88d53a0ce94b,hujan deras yang melanda pontianak seharian menyebabkan banjir merendam di beberapa titik tidak terkecuali senkom mitra polri kota pontianak bersama komunitas-komunitas di kota pontianak berpartisipasi pada kegiatan bersih parit wisata jawi '' minggu 18 feb 2018,36
c_5ea78cdd96b5,banjir dan longsor terjang pesisir jawa tengah setelah ibukota dki jakarta dampak hujan deras melanda wilayah pesisir pantai utara ( pantura ) jawa tengah di kota semarang puluhan titik terendam banjir selengkapnya :,33
c_e188f4a9d81d,relawan ldii kabupaten demak minggu 18 pebruari 2018 bergabung dengan relawan yang lain di dalam menyediakan nasi bungkus untuk korban banjir di kecamatan sayung demak,25
c_ab78d661788b,ubaloka melakukan penyedotan air sumur warga dampak banjir di rw 2 slawi wetan jum'at ( 16/2 ) kecamatan slawi,19
c_493403c7b36e,pramuka peduli salurkan donasi bantuan untuk korban banjir di posko induk sidakaton dukuhturi jum'at ( 16/2 ) berbagi itu indah semoga manfaat,22
c_11f76182c134,hati-hati banjir di daerah becirongengor wonoayu,6
c_f42cab16dcd3,hari minggu kemarin ( 18/2 ) sejumlah siswa sma/smk/ma yang tergabung dalam fkos ( forum komunikasi osis ) se-kabupaten tegal menggalang dana di beberapa titik untuk membantu korban bencana banjir di kaligangsa & dampyak,34
c_e391e1139426,ybm meninjau perkembangan projek membina sistem perparitan mengatasi masalah banjir di smk panglima bukit gantang,15
c_a92200b54d11,jangan salah kaprah peristiwa banjir & longsor di sekitar cisarua bukanlah bencana alam '' tapi konsekuensi puncak telah kehilangan hutannya lebih dari 66x luas kebun raya bogor,27
c_e8d2fdf783c1,banjir di desa kalibuntu kecamatan losari brebes,7
c_f29a6ba0e2c8,sudah hampir seminggu banjir masih merendam tiga dukuh di desa jati wetan kabupaten kudus warga pun terpaksa meninggalkan rumahnya dan mengungsi ke posko banjir,24
c_647cdf3c4903,setelah air surut sahabat banser dengan sigap mmbuat penanganan untuk mengantisipasi banjir susulan di keclosari brebes,16
c_f551e31b3503,eaaaaaaaaaaa bu bupati coba urus dulu lah masalah lingkungan banjir tahunan contohnya di karang ligar jalan-jalan yang tiap tahun berlubang kualitas pendidikan di kabupaten karawang juga perlu masalah publik lainnya yang lebih berguna daripada cuma mengurusi masalah privat warga,39
c_b12fa6edfda9,para insinyur negeri ratu elizabeth ii merancang penghalang banjir bergerak inovatif untuk mencegah banjir di sepanjang sungai thames atau thames flood barrier penghalang ini terdiri dari 9 gerbang baja berongga dengan panjang me,33
c_c9a97c19c390,banjir di pasuruan dan jombang pemprov lakukan pendataan dan penanganan darurat,11
c_e0253b43b656,pertolongan malam initrjadi banjir dengan arus deras di kpcikaro dekat alun2 majalaya air sedada dewasa & warga panik,18
c_211e597276c0,sejak gslamet diacak2 proyek keserakahan ! susul-menyusul lah banjir & longsor didaerah sekitar gunung slamet ! nastaghfirullah ! ! ! kisah perjuangan suami istri di brebes selamat dari timbunan longsor lari dikejar tanah bergerak,34
c_5d2781a9b499,dmn-dmn sekarang memang banjir di kampung saya juga banjir lawong musim ujan kok sudah wajar kalau banjir tapi mski banjir alhamdulillah kami warga jawa timur tidak lebay kayak warga kota lainnya yang banjir dikit gubernurnya yang di salahkan,38
c_49171d441a12,jalur kereta api lumpuh di brebes akibat terendam banjir jebolnya tanggul sungai cisanggarung di losari kabupaten brebes jadual 130 keretaapi terganggu,21
c_d3e884dc53d5,18:40 | truk polisi turut membantu proses evakuasi warga yang terkena banjir di losari brebes,15
c_ba6e9332c413,banjir di brebes tolong bantu di rt biar teman-teman yang lewat jalur sana bisa terhindar dari bahaya semoga tidak ada korban amin,22
c_5e3c892502ed,banjir dukungan maju di pilpres 2019 ini tanggapan,8
c_5663144d6caf,banjir dukungan maju di pilpres 2019 ini tanggapan cak imin,10
c_b248f337526d,banjir di cirebon timur akibat meluapnya aliran sungai cisanggarung rendam ribuan rumah,12
c_94e86b272f96,beserta warga membantu warga korbn banjir di losari brebes yang sudah menjadi lautan,13
c_139379bcad09,24/2 600 - bungah manyar ketinggian banjir di atas mata kaki - foto kiriman mursyid028,15
